date,title,source,contents,link
2일 전,8월 3주 주요 제조업 전망,참여와혁신,"STM에스티엠, ㈜유성ENG, ㈜현대포스 드 12곳임 - 현대중공업 군산조선소는 2023년 1월 재가동을 앞두고... 마이크론 테크놀로지는 지난 9일(현지시간) 미 증권거래위원회(SEC)에 제출한 서류를 통해 올해 회계연도 4분기...",http://www.laborplus.co.kr/news/articleView.html?idxno=29767
2022.01.18.,"LG·삼성·SK, 전기차 배터리 이어 ‘소재’까지 영토 확장",이데일리,SK아이이테크놀로지가 폴란드 실롱스크주(州)에서 지난해 10월 준공을 마치고 가동에 들어간 리튬이온... 삼성SDI(006400)는 자회사 ‘에스티엠’(STM)과 합작사(JV) ‘에코프로이엠’을 통한 ‘투트랙’ 체제로 양극재...,http://www.edaily.co.kr/news/newspath.asp?newsid=01190646632199032
2021.08.31.,"뜨고있는 '2차전지'...배터리사, 소재 경쟁력 강화 속도",아시아투데이,"SK이노베이션은 분리막 생산 자회사 아이테크놀로지를 상장하고, 1조1300억원을 투입해 폴란드 공장... 삼성SDI는 지난달 양극재 제조 자회사인 에스티엠에 신규 양극재 라인과 공장건물을 양도했다. 양도 규모는...",https://www.asiatoday.co.kr/view.php?key=20210830010016806
2021.08.29.,이차전지 뜨자 소재 경쟁도 치열...'너나 할 거 없이 케파 확대',쿠키뉴스,"삼성SDI는 지난 7월 자회사인 에스티엠에 양극재 제조 설비 일부를 양도해 양극재의 경쟁력을 강화에... SK이노베이션은 분리막 생산 자회사인 아이테크놀로지를 상장하고, 1조1300억원을 투입해 폴란드 공장 증설에...",http://www.kukinews.com/newsView/kuk202108270200
2022.03.24.,"배터리 소재 시장, 대기업 참전으로 치열한 경쟁 예고",헬로티,"SK아이이테크놀로지(SKIET)는 글로벌 분리막 시장에서 점유율 26% 안팎을 차지하는 1위 업체로, 현재 생산... 이와 함께 자회사 에스티엠도 양극재 사업을 영위해 양극재 내재화율을 높인다는 방침이다....",https://www.hellot.net/news/article.html?no=66723
2022.02.12.,'전기차 배터리 소재 잡아라'…주요 기업 투자 경쟁 가열,연합뉴스,SK이노베이션의 자회사 SK아이이테크놀로지(SKIET)는 글로벌 분리막 시장에서 점유율 26% 안팎을 차지하고... 이와 함께 자회사 에스티엠도 양극재 사업을 영위해 양극재 내재화율을 높인다는 방침이다. 포스코케미칼은...,http://yna.kr/AKR20220211168900003?did=1195m
2022.01.25.,"소재 생산법인 설립, 협업·합작 강화… K배터리 ‘원자재 공급망 잡기’ 사활",국민일보,SK아이이테크놀로지는 2024년까지 2조원을 투자해 3·4공장까지 짓는다. 유럽 최대 규모인 15억4000만㎡의 분리막 생산능력을 확보하는 게 밑그림이다. 삼성SDI는 양극재 제조 자회사인 에스티엠(STM)과 합작법인인...,http://news.kmib.co.kr/article/view.asp?arcid=0924228988&code=11151400&cp=nv
2022.01.20.,"자체공장, 협업… K-배터리 ‘원자재 공급망 잡기’ 안간힘",국민일보,SK아이이테크놀로지는 2024년까지 2조원을 투자해 3·4공장까지 짓는다. 유럽 최대 규모인 15억4000만㎡의 분리막 생산능력을 확보하는 게 밑그림이다. 삼성SDI는 양극재 제조 자회사인 에스티엠(STM)과 합작법인인...,http://news.kmib.co.kr/article/view.asp?arcid=0016682086&code=61141111&cp=nv
2022.01.14.,"LG·SK·삼성·포스코, 배터리 소재 확 키운다",헤럴드경제언론사 선정,(SK아이이테크놀로지)에서 점유율을 높이고 있다. SKC는 지난해 7월 말레이시아에 5만t 규모의 공장을 착공한... 삼성에서 배터리 제조를 맡고 있는 삼성SDI는 지난해 자회사 에스티엠(STM)에 양극제 제조 설비 등을 양도...,http://news.heraldcorp.com/view.php?ud=20220114000377
2021.12.31.,"2022년 1월, 물리·정보 보안업계 어떤 인재 찾고 있나",보안뉴스,"코리아엑스퍼트는 신입 또는 경력 2년 이상의 기술영업 및 신사업 기획 담당자를, 다후아테크놀로지코리... 한일에스티엠은 신입 또는 경력의 SI 프로젝트 관리자와 캐드(CAD) 설계 담당 인력을, 인더스비젼은 경력 3년...",http://www.boannews.com/media/view.asp?idx=103716&kind=
2021.12.31.,"시큐리티 어워즈 코리아 2021 열려 한화테크윈, 아이디스, 경기도, SBS 등 수...",CNB저널,영상보안 솔루션 부분별 수상기업은 △원우이엔지(줌카메라) △이노뎁(영상보안 통합솔루션) △아이브스(AI솔루션) △다후아테크놀로지(AI카메라) △인콘(VMS) △트루엔(IP카메라) △웹게이트(DVR) △한일에스티엠(ITS)...,https://weekly.cnbnews.com/news/article.html?no=141334
2021.12.30.,"시큐리티 어워즈 코리아 2021, 보안분야 빛낸 유공자와 기업 시상",시사캐스트,"영상보안 솔루션 부분별 수상기업은 원우이엔지(줌카메라) ,이노뎁(영상보안 통합솔루션) ,아이브스(AI솔루션) ,다후아테크놀로지(AI카메라) ,인콘(VMS) ,트루엔(IP카메라) ,웹게이트(DVR) ,한일에스티엠(ITS) ,셀링스시스템...",http://www.sisacast.kr/news/articleView.html?idxno=34285
2021.12.29.,[시큐리티어워즈코리아 2021] '보안문화 조성 기여' 유공자·기업 수상 영예,시사위크,영상보안 솔루션 부분별 수상기업은 ▲원우이엔지(줌카메라) ▲이노뎁(영상보안 통합솔루션) ▲아이브스(AI솔루션) ▲다후아테크놀로지(AI카메라) ▲인콘(VMS) ▲트루엔(IP카메라) ▲웹게이트(DVR) ▲한일에스티엠(ITS)...,http://www.sisaweek.com/news/articleView.html?idxno=149920
2021.12.29.,"시큐리티어워즈코리아 2021, 보안분야 유공자·기업 선정해 수상",글로벌경제,영상보안 솔루션 부분별 수상기업은 △원우이엔지(줌카메라) △이노뎁(영상보안 통합솔루션) △아이브스(AI솔루션) △다후아테크놀로지(AI카메라) △인콘(VMS) △트루엔(IP카메라) △웹게이트(DVR) △한일에스티엠(ITS)...,http://www.getnews.co.kr/news/articleView.html?idxno=566283
2021.12.29.,"시큐리티 어워즈 코리아 2021, 보안분야 빛낸 유공자 시상",전자신문,영상보안 솔루션 부문에선 △원우이엔지(줌카메라) △이노뎁(영상보안 통합솔루션) △아이브스(AI솔루션) △다후아테크놀로지(AI카메라) △인콘(VMS) △트루엔(IP카메라) △웹게이트(DVR) △한일에스티엠(ITS)...,http://www.etnews.com/20211229000125
2021.12.29.,시큐리티 어워즈 코리아 개최...보안 분야 빛낸 유공자·기업 발굴해 시상,소비자가 만드는 신문,영상보안 솔루션 부분별 수상기업은 ▶원우이엔지(줌카메라) ▶이노뎁(영상보안 통합솔루션) ▶아이브스(AI솔루션) ▶다후아테크놀로지(AI카메라) ▶인콘(VMS) ▶트루엔(IP카메라) ▶웹게이트(DVR) ▶한일에스티엠(ITS)...,http://www.consumernews.co.kr/news/articleView.html?idxno=640518
